ABSFID,ABSLID,CURINTL,LNSECLN,MPURL,YRRPMTL,AMTOLN,WKREPLN,AMTBRLN,IMPASTA,IMPFIAC,IMPNOST,IMPNSTA,IMPSTAT,SIHLNWT,WLN0101,WLN0102,WLN0103,WLN0104,WLN0105,WLN0106,WLN0107,WLN0108,WLN0109,WLN0110,WLN0111,WLN0112,WLN0113,WLN0114,WLN0115,WLN0116,WLN0117,WLN0118,WLN0119,WLN0120,WLN0121,WLN0122,WLN0123,WLN0124,WLN0125,WLN0126,WLN0127,WLN0128,WLN0129,WLN0130,WLN0131,WLN0132,WLN0133,WLN0134,WLN0135,WLN0136,WLN0137,WLN0138,WLN0139,WLN0140,WLN0141,WLN0142,WLN0143,WLN0144,WLN0145,WLN0146,WLN0147,WLN0148,WLN0149,WLN0150,WLN0151,WLN0152,WLN0153,WLN0154,WLN0155,WLN0156,WLN0157,WLN0158,WLN0159,WLN0160,LEVELLN,ABSHID,ABSIID,ABSPID
00,2,0,2,5,0,8000,0,20000,0,0,0,0,0,125.94287327,125.32727051,124.64147949,127.77874756,129.16625977,138.1451416,127.59033203,124.9708252,137.24987793,133.80078125,124.96270752,126.64599609,140.70397949,0,129.76477051,125.61364746,128.47937012,126.28570557,122.04882813,125.79638672,127.14074707,137.51257324,125.00738525,123.40539551,126.24578857,127.19763184,129.91479492,128.89819336,125.74591064,125.69482422,123.98071289,123.25463867,132.52368164,131.44958496,125.31500244,126.26049805,125.02893066,123.59558105,126.05566406,129.9510498,130.41894531,124.97302246,126.85473633,127.00390625,126.59326172,133.34594727,134.74768066,136.17272949,133.36865234,124.22845459,131.16906738,126.67272949,125.99145508,131.96569824,118.85760498,129.70654297,121.11956787,133.30078125,116.41070557,126.01800537,126.87884521,6,SIH13E8999981,0,00
00,1,5.22,1,1,2013,377142,522,380000,0,1,1,0,0,1196.3012448,1189.09375,1182.8359375,1213.4814453,1190.0361328,1222.3330078,1221.375,1195.0869141,1207.640625,1188.6279297,1192.8066406,1243.5820313,1207.2675781,1234.1181641,1216.5771484,1242.3388672,1271.6669922,1251.5273438,1206.0771484,1213.0195313,1215.8085938,1233.0234375,1219.4189453,1245.1894531,1237.5410156,1225.4541016,1202.4101563,1232.6621094,1228.7236328,1219.3515625,1217.1582031,1224.8447266,1238.9570313,1191.8203125,1191.0556641,1211.6113281,1222.2685547,1203.5527344,1227.3261719,1215.0058594,1193.1728516,1192.0976563,1193.6611328,0,1213.7910156,1232.7802734,1287.2949219,1192.3427734,1217.7832031,1205.1484375,1182.2333984,1234.6210938,1229.5966797,1196.9023438,1207.8876953,1188.1933594,1206.2646484,1230.9208984,1225.9248047,1197.7011719,1231.3505859,6,SIH13E8999980,0,00
00,1,5.51,1,1,0,113000,250,150000,0,0,0,0,0,915.49832259,918.79052734,952.00244141,916.95410156,929.31347656,925.11230469,971.56298828,915.80957031,942.70166016,932.18164063,927.73339844,923.17285156,921.68017578,954.76464844,927.21044922,935.67626953,963.17578125,907.65478516,929.36914063,911.56103516,919.29541016,946.328125,906.1875,958.92724609,903.93310547,927.90478516,942.81884766,921.75439453,937.31152344,907.82910156,922.05078125,923.56787109,928.99755859,913.97412109,944.64941406,917.10058594,934.08349609,929.60449219,956.09570313,905.72119141,919.39208984,923.25878906,962.13476563,918.71679688,928.84277344,918.90576172,935.05908203,0,925.109375,917.87695313,1000.5844727,935.85644531,917.72998047,947.79394531,923.0078125,920.68359375,918.85058594,965.68164063,973.09082031,911.00683594,934.97412109,6,SIH13E8999977,0,00
00,2,6,3,3,2010,8000,75,20000,0,0,0,0,0,915.49832259,918.79052734,952.00244141,916.95410156,929.31347656,925.11230469,971.56298828,915.80957031,942.70166016,932.18164063,927.73339844,923.17285156,921.68017578,954.76464844,927.21044922,935.67626953,963.17578125,907.65478516,929.36914063,911.56103516,919.29541016,946.328125,906.1875,958.92724609,903.93310547,927.90478516,942.81884766,921.75439453,937.31152344,907.82910156,922.05078125,923.56787109,928.99755859,913.97412109,944.64941406,917.10058594,934.08349609,929.60449219,956.09570313,905.72119141,919.39208984,923.25878906,962.13476563,918.71679688,928.84277344,918.90576172,935.05908203,0,925.109375,917.87695313,1000.5844727,935.85644531,917.72998047,947.79394531,923.0078125,920.68359375,918.85058594,965.68164063,973.09082031,911.00683594,934.97412109,6,SIH13E8999977,0,00
00,3,0,2,5,0,3000,0,12000,0,0,0,0,0,915.49832259,918.79052734,952.00244141,916.95410156,929.31347656,925.11230469,971.56298828,915.80957031,942.70166016,932.18164063,927.73339844,923.17285156,921.68017578,954.76464844,927.21044922,935.67626953,963.17578125,907.65478516,929.36914063,911.56103516,919.29541016,946.328125,906.1875,958.92724609,903.93310547,927.90478516,942.81884766,921.75439453,937.31152344,907.82910156,922.05078125,923.56787109,928.99755859,913.97412109,944.64941406,917.10058594,934.08349609,929.60449219,956.09570313,905.72119141,919.39208984,923.25878906,962.13476563,918.71679688,928.84277344,918.90576172,935.05908203,0,925.109375,917.87695313,1000.5844727,935.85644531,917.72998047,947.79394531,923.0078125,920.68359375,918.85058594,965.68164063,973.09082031,911.00683594,934.97412109,6,SIH13E8999977,0,00
00,1,0,3,7,0,2000,0,4489,0,0,0,0,0,775.64821926,790.92529297,786.31835938,770.06494141,835.75048828,766.12011719,831.39453125,767.47900391,807.22460938,777.92919922,0,779.69189453,769.14306641,808.06738281,772.78125,853.9609375,836.23291016,752.85986328,790.02685547,754.76220703,791.31396484,841.04052734,791.67626953,813.90722656,772.72412109,792.10253906,831.27490234,772.41601563,811.09033203,781.94873047,783.19580078,800.86132813,815.02636719,773.50830078,788.68359375,785.26464844,771.90869141,796.25488281,756.27832031,758.74853516,767.35595703,789.19970703,830.82373047,811.3203125,766.26464844,751.52587891,840.88183594,793.83007813,787.09423828,734.73583984,779.5546875,808.05029297,772.9296875,782.22167969,741.10839844,818.77978516,806.22070313,770.95507813,766.02148438,782.19775391,782.08789063,6,SIH13E8999974,0,00
00,1,6,1,2,2006,103257,0,130000,0,0,0,1,0,1423.9118413,1476.4121094,1514.3876953,1429.6210938,1427.1972656,1460.0566406,1433.5126953,1437.5556641,1427.7148438,1472.8496094,1412.2636719,1492.8505859,1478.890625,1431.0332031,1422.3222656,1470.5214844,1421.5488281,1444.7539063,1447.7744141,1451.8017578,1431.0927734,1449.7587891,1482.5585938,1457.9296875,1419.6259766,1399.265625,1452.2666016,1447.4775391,1469.0087891,1430.8730469,1443.2880859,1436.7763672,1464.1816406,1468.4628906,1460.5351563,1463.4619141,1423.7226563,1438.8994141,1480.0146484,1455.4404297,1433.0371094,1402.9902344,1457.5371094,1410.6464844,1450.1640625,1432.2753906,1433.5888672,1434.6650391,1415.4326172,1524.8027344,1436.9404297,1480.1728516,1433.9023438,1476.2167969,0,1478.1611328,1430.3222656,1439.3330078,1460.8759766,1470.0986328,1430.4609375,6,SIH13E8999973,0,00
00,1,5.69,1,1,2008,10191,125,60000,0,0,0,0,1,526.13307037,549.09960938,510.30419922,519.46972656,524.72705078,537.73388672,529.10644531,519.62207031,533.48291016,549.65332031,538.20019531,537.73291016,568.93261719,537.22216797,534.14208984,0,521.05664063,531.98144531,530.4453125,535.87597656,535.56005859,535.32080078,539.21875,509.16137695,528.78759766,530.79541016,518.26953125,537.38037109,543.15917969,533.12646484,524.44970703,517.50927734,514.04443359,539.51611328,529.63476563,548.15429688,552.16210938,553.93847656,529.13867188,525.23779297,560.76269531,562.43261719,533.97802734,516.17431641,570.40820313,524.625,529.06787109,531.72314453,546.31591797,526.17529297,550.83447266,546.89648438,531.02148438,543.67285156,521.55029297,530.87939453,546.953125,539.59130859,534.67724609,543.23193359,531.87353516,6,SIH13E8999971,0,00
00,1,5.18,1,1,2011,350364,552,370000,0,0,0,0,0,120.22791514,123.96057129,0,119.2677002,124.96270752,119.88049316,124.94744873,119.89208984,122.87493896,120.97253418,126.51306152,124.64874268,119.99499512,125.19177246,123.40661621,122.90136719,119.71087646,119.40899658,117.98425293,119.12316895,120.69030762,122.5602417,121.21905518,120.00158691,120.66552734,118.3269043,122.23400879,122.68981934,124.0244751,127.26104736,120.60528564,118.15301514,123.57305908,127.78485107,123.35961914,120.09533691,124.48132324,124.17938232,122.70257568,121.3192749,119.46252441,124.68310547,123.40356445,120.35717773,125.40625,118.94799805,126.56591797,119.7119751,123.15087891,126.76434326,122.6675415,126.17224121,119.49047852,118.69946289,120.09356689,124.62762451,124.20605469,128.04064941,124.48046875,119.23797607,117.69610596,6,SIH13E8999970,0,00
00,1,5.5,1,1,2006,90000,276,120000,0,0,0,0,0,165.04991838,165.12609863,166.56921387,163.07702637,171.12670898,164.25415039,167.33044434,164.12841797,172.04992676,166.14599609,0,163.94433594,170.60217285,166.0559082,162.42773438,164.98693848,171.69580078,168.55688477,167.05505371,162.05407715,162.21459961,162.36755371,171.48083496,166.85168457,163.89770508,165.58007813,172.49804688,166.50732422,171.2088623,175.72619629,165.64282227,165.8885498,162.25231934,177.39648438,177.08203125,166.31237793,166.4119873,165.54956055,174.11779785,164.55419922,161.27697754,168.41320801,165.92553711,172.47424316,161.42016602,163.24645996,179.2130127,166.36486816,167.95935059,171.86108398,164.60266113,175.34875488,158.8560791,162.50732422,171.18652344,168.94030762,171.65515137,180.90979004,179.8828125,167.1282959,161.88684082,6,SIH13E8999969,0,00
